자치구,가로등수,CCTV수,총범죄,인구수
강남구,1761.0,7007.0,9955.0,563215
강동구,1426.0,3191.0,5227.0,481474
강북구,49.0,2858.0,3563.0,289374
강서구,1562.0,3210.0,6397.0,562194
관악구,2095.0,5366.0,7136.0,495620
광진구,1887.0,4091.0,5285.0,348652
구로구,1141.0,4050.0,5574.0,411916
동작구,1275.0,2650.0,4022.0,387352
마포구,654.0,2450.0,5760.0,372745
송파구,1787.0,3094.0,7963.0,656310
영등포구,896.0,2899.0,6604.0,397173
용산구,560.0,1078.0,4250.0,217194
종로구,18.0,1930.0,4399.0,149608
중구,590.0,2336.0,5089.0,131214
중랑구,1573.0,3471.0,4903.0,385349
