자치구,가로등수
종로구,9324
중구,6600
용산구,7612
성동구,6696
광진구,5822
동대문구,5995
중랑구,7409
성북구,8346
강북구,3623
도봉구,4263
노원구,8067
은평구,307
서대문구,3230
마포구,7593
양천구,9315
강서구,8909
구로구,6681
금천구,4627
영등포구,9615
동작구,5003
관악구,7287
서초구,13580
강남구,12582
송파구,11270
강동구,6251
