기준년월,시군구,평균소득월액
2025-01,전라남도해남군,1383757
2025-01,전라남도영암군,1327749
2025-01,전라남도무안군,1351703
2025-01,전라남도함평군,1313027
2025-01,전라남도영광군,1409822
2025-01,전라남도장성군,1316798
2025-01,전라남도완도군,1393947
2025-01,전라남도진도군,1338616
2025-01,전라남도신안군,1387247
2025-01,경상북도포항시,1452336
2025-01,경상북도경주시,1441531
2025-01,경상북도김천시,1363568
2025-01,경상북도안동시,1421207
2025-01,경상북도구미시,1409271
2025-01,경상북도영주시,1359425
2025-01,경상북도영천시,1358237
2025-01,경상북도상주시,1359240
2025-01,경상북도문경시,1396962
2025-01,경상북도경산시,1388221
2025-01,경상북도의성군,1280221
2025-01,경상북도청송군,1301789
2025-01,경상북도영양군,1288717
2025-01,경상북도영덕군,1434715
2025-01,경상북도청도군,1299322
2025-01,경상북도고령군,1360740
2025-01,경상북도성주군,1342079
2025-01,경상북도칠곡군,1449151
2025-01,경상북도예천군,1431140
2025-01,경상북도봉화군,1264473
2025-01,경상북도울진군,1536485
2025-01,경상북도울릉군,1665600
2025-01,경상남도창원시,1422815
2025-01,경상남도진주시,1385341
2025-01,경상남도통영시,1356234
2025-01,경상남도사천시,1361745
2025-01,경상남도김해시,1440454
2025-01,경상남도밀양시,1311733
2025-01,경상남도거제시,1314250
2025-01,경상남도양산시,1420894
2025-01,경상남도의령군,1332814
2025-01,경상남도함안군,1416170
2025-01,경상남도창녕군,1357829
2025-01,경상남도고성군,1314136
2025-01,경상남도남해군,1335131
2025-01,경상남도하동군,1364212
2025-01,경상남도산청군,1345806
2025-01,경상남도함양군,1350809
2025-01,경상남도거창군,1374998
2025-01,경상남도합천군,1369059
2025-01,제주특별자치도제주시,1400871
2025-01,제주특별자치도서귀포시,1372992
